Influencer_profile_url,num_follower,num_contents,cost,view,save,like,comment,share
https://www.tiktok.com/@Domm.Baccigalupi,"1,200,000",1,"\5,750,000","12,900",39,424,22,1
https://www.tiktok.com/@after.law,"105,100",1,"\1,380,000","8,399",35,308,5,1
https://www.tiktok.com/@iirixle,361,4,"\460,000","5,048",33,337,12,2
https://www.tiktok.com/@sorayaskincares,"575,000",1,"\5,750,000","15,800",32,729,11,0
https://www.tiktok.com/@ssoul_korean,"12,400",1,"\345,000","4,164",31,98,3,1
https://www.tiktok.com/@kylei.ann,"101,700",1,"\3,450,000","6,197",29,309,3,3
https://www.tiktok.com/@ashley_vences,"244,200",1,"\1,380,000","16,700",29,"1,782.00",4,0
https://www.tiktok.com/@mirela.nova,"29,100",1,"\690,000","1,744",27,71,1,2
https://www.tiktok.com/@angelicasong,"211,000",1,"\4,025,000","3,892",23,112,2,2
https://www.tiktok.com/@alicexliuu,"1,507",3,"\172,500","5,707",19,150,5,8
https://www.tiktok.com/@sanne_vander,"26,100",2,"\690,000","1,311",17,104,0,3
https://www.tiktok.com/@carolkchang,"14,900",2,"\7,130,000","2,038",17,142,3,1
https://www.tiktok.com/@unpretty_00,"34,400",1,"\103,500","2,110",14,211,1,0
https://www.tiktok.com/@gabrielavillarrealdavis,"95,100",1,"\1,380,000","2,919",13,50,4,0
https://www.tiktok.com/@tchaoskin,"18,200",1,"\2,875,000","1,777",12,56,12,3
https://www.tiktok.com/@rali_zabeth,"50,400",1,"\2,875,000","3,075",12,70,1,1
https://www.tiktok.com/@allisnku,"6,760",1,"\2,875,000","2,163",12,118,5,0
https://www.tiktok.com/@jungwonjo,"15,900",1,"\287,500","1,571",11,83,3,0
https://www.tiktok.com/@valerieeve1,"338,000",1,"\5,750,000","2,802",10,159,8,0
https://www.tiktok.com/@lillischaub,"78,300",1,"\2,875,000","3,256",9,92,3,0
https://www.tiktok.com/@typicalbreann,"60,900",1,"\1,915,900",957,8,48,0,0
https://www.tiktok.com/@simplysashafierce,"76,000",1,"\2,875,000","4,204",8,91,4,0
https://www.tiktok.com/@kellysalpeter,"1,400,000",1,"\5,750,000","2,024",8,117,2,3
https://www.tiktok.com/@taylorherrera111,"174,800",1,"\1,915,900","1,505",6,137,0,0
https://www.tiktok.com/@jawsolyn,"56,400",1,"\1,380,000","1,209",4,44,17,2
https://www.tiktok.com/@itsvalenzz,"33,600",1,"\1,380,000",540,4,17,4,0
https://www.tiktok.com/@andie_sorto,"1,442",1,"\1,380,000",541,4,81,19,4
https://www.tiktok.com/@pauulinaperez,"88,500",1,"\1,380,000","5,800",3,155,4,0
https://www.tiktok.com/@jessicasbeautyblog,"6,011",1,"\1,380,000",276,3,16,12,0
https://www.tiktok.com/@glamsoul101,"3,684",1,"\2,875,000","12,000",3,340,7,0
https://www.tiktok.com/@abbyjahaira,"68,800",1,"\1,380,000","1,208",3,101,6,0
https://www.tiktok.com/@valerienunez_,"96,600",1,"\1,380,000","2,689",2,85,2,0
https://www.tiktok.com/@tarynitupppp,"35,500",1,"\1,380,000",793,2,28,4,0
https://www.tiktok.com/@liv.reese,"64,099",1,"\1,380,000",887,2,31,1,1
https://www.tiktok.com/@kaseyma,"11,600",1,"\1,380,000",543,2,33,3,0
https://www.tiktok.com/@eferssurface,366,2,"\115,000",601,2,20,0,2
https://www.tiktok.com/@pao.la.mtz,"13,800",1,"\1,380,000",365,1,19,1,0
https://www.tiktok.com/@kilennyk,"1,156",1,"\1,380,000",323,1,17,2,0
https://www.tiktok.com/@justpamk_,"1,220",1,"\1,380,000",309,1,11,2,0
https://www.tiktok.com/@daisyquezchez,"11,300",1,"\1,380,000",463,1,16,0,0
https://www.tiktok.com/@alexandrajanthony,"26,300",1,"\1,380,000",574,1,29,5,0
https://www.tiktok.com/@veronicaisolee,"2,371",1,"\1,380,000",260,0,11,0,0
https://www.tiktok.com/@maya.j.s,"1,928",1,"\1,380,000",429,0,17,10,0
https://www.tiktok.com/@iellenahh,"26,100",1,"\7,130,000","27,200",0,892,0,0
https://www.tiktok.com/@adoredonnie,"17,100",1,"\1,380,000",343,0,9,0,0
